Year,Tournament,Motion,Winner,Link,,
2009,EUDC 2009,THBT desecration of religious sites is a legitimate tactic of warfare,OPP Sweep,https://www.youtube.com/watch?v=KNWdMryKQGs&feature=youtu.be,,Bad Debate
2010,EUDC 2010,THBT after a humanitarian intervention has halted human rights abuses the occupation forces should leave at once if the population clearly establishes this as their wish,OO,https://www.youtube.com/watch?v=3oYkvTzy98g,,Good Debate
2010,WUDC 2010,THB that the United States government should subsidize Twitter to liberalize oppressed societies,Gov Sweep,https://www.youtube.com/watch?v=BwRvr5EVE1A&t=298s,,
2011,WUDC 2011,THO Organized Religion,OG then CO,https://www.youtube.com/watch?v=BSD7ItrwGV0,,Okay
2014,EUDC 2014,"This house believes that the United States of America should invade, and forcibly partition, Iraq",Gov Sweep,https://www.youtube.com/watch?v=IocKlxz3qi0,,
2015,HWS RR 2015,This house would disallow exclusive private arbitration for contracts between corporations and individuals.,CO then CG,https://www.youtube.com/watch?v=JO8MJgii-80,,
2015,HWS RR 2015,THW measure gross national happiness and base public policy decisions on these measurements.,Stanford,https://www.youtube.com/watch?v=3FuV9pCAFMo,,
2015,HWS RR 2015,This house supposes establishing an independent state of Kurdistan.,OO,https://www.youtube.com/watch?v=AbZLV-GAn2c,,
2015,WUDC 2015,"THBT all states should create special economic zones in cities, where all economic activities (except the purchase of goods and services) are carried out by women",Opening,https://www.youtube.com/watch?v=ED7pA0r7bYs,,
2016,Cambridge IV 2016,"This House prefers a world in which Islam is structured around a strong, central governing authority (e.g. The Pope in Catholicism)",CO,https://www.youtube.com/watch?v=EvcyeTKEyiE,,
2016,HWS IV 2016,This house regrets the new politics of the campus left.,OG then CO,https://www.youtube.com/watch?v=2IYzfQCGnGw&t=268s,,
2016,HWS RR 2016,Motion: This house prefers a world with memory writing technology. Info Slide: A “memory writing machine” is a device that is capable of imprinting or replacing memories in people’s brains in a manner that is medically safe.,CG,https://www.youtube.com/watch?v=7A7LSclItIQ,,
2016,HWS RR 2016,This house would not allow criminal defendants represented by private counsel the protection against self-incrimination at trial,OPP Sweep,https://www.youtube.com/watch?v=QbRSVZpvslg,,
2016,HWS RR 2016,Motion: This house prefers a world with memory writing technology. Info Slide: A “memory writing machine” is a device that is capable of imprinting or replacing memories in people’s brains in a manner that is medically safe.,OO then CO,https://www.youtube.com/watch?v=Xu8g7H8BR5g&t=25s,,
2016,EUDC 2016,THW nationalize and provide public access to the metadata being gathered by online multinational companies,OO,https://www.youtube.com/watch?v=9Y6WKhKcFkg&feature=youtu.be,,
2016,Yale 2016,THB in God,OO,https://www.youtube.com/watch?v=nD8OXsaOv9Q&t=1976s,,
2016,EUDC 2016,TH supports Iran's extension of the Sharia principle of an eye for an eye“ to the victims of acid attacks.,OG then CO,https://www.youtube.com/watch?v=mFv9L0w7Q7o&t=18s,,
2016,EUDC 2016,THS sanctuary cities in the United States.,OG then OO,https://www.youtube.com/watch?v=Cr3DMtavmPw,,
2016,EUDC 2016,TH would require the economic policies of political parties to be approved by an independent panel of experts before being used in campaigns,OG then CO,https://www.youtube.com/watch?v=k-CCpaDOQ6Q&t=1s,,
2016,EUDC 2016,THR the mass commercialisation of football.,OO then CG,https://www.youtube.com/watch?v=C9Gfl2VcSok,,
2017,WUDC 2017,THBT countries close to conflict zones should only grant long-term asylum to refugees who agree to one year of military service,OPP Sweep,https://www.youtube.com/watch?v=VpQWknFGPNk&list=PLGZfQ4Q1G5AiDQy3L3PF6iuZyaRYmXq12&index=8,,
2017,WUDC 2017,This House believes that South Korea should produce nuclear weapons.,CO then OG,https://www.youtube.com/watch?v=IFxKeGb87Q4&index=12&list=PLGZfQ4Q1G5AiDQy3L3PF6iuZyaRYmXq12,,
2017,WUDC 2017,THBT countries close to conflict zones should only grant long-term asylum to refugees who agree to one year of military service,OO,https://www.youtube.com/watch?v=G0G3x5J52Co&list=PLGZfQ4Q1G5AiDQy3L3PF6iuZyaRYmXq12&index=9,,
2017,HWS RR 2017,"Given the choice as an individual who is a typical, healthy 30-year-old, this house would elect to never again feel the emotion of sorrow.",CG,https://www.youtube.com/watch?v=KR9RfcjOcqI&t=2027s,,
2017,HWS RR 2017,"Given the choice as an individual who is a typical, healthy 30-year-old, this house would elect to never again feel the emotion of sorrow.",CG,https://www.youtube.com/watch?v=yLKUfmq0kec&t=3186s,,
2017,HWS RR 2017,This house regrets the shift in focus within the academic study of history from studying great figures and institutions to studying cultural forces and the experiences of ordinary people.,CO,https://www.youtube.com/watch?v=kC5Sht97t7w&t=6s,,
2017,HWS RR 2017,This house regrets the shift in focus within the academic study of history from studying great figures and institutions to studying cultural forces and the experiences of ordinary people.,CO,https://www.youtube.com/watch?v=fOwUS7uNooE&t=81s,,
2017,HWS RR 2017,This house supports democratic governments using social disgust as a grounds for restricting public speech or display.,OO,https://www.youtube.com/watch?v=rAEH8Z57WqI&t=608s,,
2017,HWS RR 2017,This house supports democratic governments using social disgust as a grounds for restricting public speech or display.,CO,https://www.youtube.com/watch?v=mDDQNakTCnA,,
2017,HWS RR 2017,This house supports the use of “eye in the sky” policing in urban areas with high crime rates,OG,https://www.youtube.com/watch?v=ZVjCkMi7Lfc&t=2586s,,
2017,EUDC 2017,THBT the US should reverse the 'Pivot to Asia' strategy,?,https://www.youtube.com/watch?v=Mzq96M25owo&list=PL2zzsJ9RVJVooYEa9h8pomLQb___9zCjl&index=3,,
2017,EUDC 2017,THR the mass deregulation of the Financial Sector,Opening,https://www.youtube.com/watch?v=NWQTv9r34qc&t=1104s,,
2017,EUDC 2017,"THBT Western institutions should neither cooperate with, nor use the data produced by, non-Western medical institutions that do not meet Western standards on human clinical trials",Opening,https://www.youtube.com/watch?v=j5JM1c71E2Y&t=620s,,
2017,EUDC 2017,"THS universities treating students as customers (eg by allocating significant resources to improving students lifestyles, and granting students influence over university decisions and the content and delivery of course curricula)",Opp Sweep,https://www.youtube.com/watch?v=H7cpidelVyQ,,
2018,WUDC 2018,"This house would limit the amount of time that a museum can display a given piece of art to 3 months out of every 10 year period, rather than allow museums to display their works as long as they choose.",OG,https://www.youtube.com/watch?v=dt6cAlmrOTM&list=PLGZfQ4Q1G5Age8g-7Zv6cm_BfTnN8mCzl&index=5,,
2018,WUDC 2018,THS job security legislation.,CO,https://www.youtube.com/watch?v=k9CeiSMuFNo&index=8&list=PLGZfQ4Q1G5Age8g-7Zv6cm_BfTnN8mCzl,,
2018,WUDC 2018,This House would not allow out of court settlements for workplace discrimination and harassment.,CG,https://www.youtube.com/watch?v=CT9GKUYCtMo&index=21&list=PLGZfQ4Q1G5Age8g-7Zv6cm_BfTnN8mCzl,,
2018,HWS IV 2018,THBT the Obama administration should have prioritized affordable tertiary education over affordable healthcare.,Opp Sweep,https://www.youtube.com/watch?v=KCPzYK_w8Sw,,
2018,HWS IV 2018,THW allow individuals to sue religious institutions in their community for propagating beliefs that cause them significant harm.,OO then CG,https://www.youtube.com/watch?v=S16Cu0jPCrw,,
2018,HWS RR 2018,"Motion: This house prefers a world in which, upon childhood, all people intuitively come to know their natural expiration date. Information Slide: For the purposes of this debate, a person’s “natural expiration date” is the date at which they will certainly die from natural causes (e.g., old age, disease, etc.). They can still die earlier by non-natural causes like murder, accidents, etc. Furthermore, one’s natural expiration date is always accurate and cannot be extended.",Opening,https://www.youtube.com/watch?v=kgnUMFNNzQ4,,
2018,HWS RR 2018,This house believes that the criminal justice system should not consider retribution as a factor in sentencing.,CG,https://www.youtube.com/watch?v=UtaVVxZvHpM,,
2018,HWS RR 2018,This house believes that the criminal justice system should not consider retribution as a factor in sentencing.,OG,https://www.youtube.com/watch?v=SfPQlXPewSI,,
2018,HWS RR 2018,"Motion: When responding to civilian casualties, this house believes that the military action taken does not have to meet the principle of proportionality. Information Slide: The principle of proportionality asserts that an act of war is just if and only if the harm caused by it is proportionate to the harm intended to be inflicted by the opposing warring party.",OO CG,https://www.youtube.com/watch?v=-oSfHZ46h9A&t=4s,,
2018,HWS RR 2018,"Motion: This house prefers a world in which, upon childhood, all people intuitively come to know their natural expiration date. Information Slide: For the purposes of this debate, a person’s “natural expiration date” is the date at which they will certainly die from natural causes (e.g., old age, disease, etc.). They can still die earlier by non-natural causes like murder, accidents, etc. Furthermore, one’s natural expiration date is always accurate and cannot be extended.",Opening,https://www.youtube.com/watch?v=369IQj1IlOo,,
2018,HWS RR 2018,This house believes that governments should prioritize the economic improvement of minority communities over the preservation of their culture.,Gov Sweep,https://www.youtube.com/watch?v=RLaxvezOBR4,,
2019,WUDC 2019,This House believes that the ongoing process of decolonization should include actively disempowering religions that were imposed on the country during colonialism,OO,https://www.youtube.com/watch?v=AjKFd7_bH70&t=1860s,,
2019,WUDC 2019,"This House supports granting megacities autonomous control over their economic and social policy (e.g. immigration, health, criminal justice) with national taxation policy remaining under the control of the federal government",CG,https://www.youtube.com/watch?v=7Q2OCsTCLwc&t=10s,,
2019,WUDC 2019,This House opposes the norm that romantic love should be the primary source of fulfilment in a person's life,OG,https://www.youtube.com/watch?v=kN3MqcTqYMc,,
2019,WUDC 2019,THW actively encourage women not to have children,OG,https://www.youtube.com/watch?v=6hYgX-2x5zg&t=3352s,,
2019,WUDC 2019,"This House believes that developing countries should privatise their State-Owned Enterprises (such as airlines, railway utility companies)",CG,https://www.youtube.com/watch?v=YmBARw4QR74,,
2019,WUDC 2019,‪THBT the United States should disengage from Syria.,OO,https://www.youtube.com/watch?v=6XFRTsUkveY,,
2019,WUDC 2019,THW actively encourage women not to have children,CG then OO,https://www.youtube.com/watch?v=xtmwPT2X8Tw&t=3450s,,
2019,WUDC 2019,This House supports a norm of embracing anger in public discourse rather than one of aspiring to dispassionate objectivity,OG,https://www.youtube.com/watch?v=iPh80RGGbtQ,,
2019,WUDC 2019,This House believes that an approach of Political Expansionism on the part of the Chinese state is in the interests of the Chinese people,LO CASE ONLY,https://www.youtube.com/watch?v=-LQ6_147tSc,,
